,out_0,out_1,prediction,height,offset
76,1.0,7.2354365e-26,0,0.14,25
77,0.9934957,0.0065042325,0,0.14,24
78,0.9921262,0.007873779,0,0.14,23
79,0.9999827,1.732229e-05,0,0.14,22
80,1.0,1.9189808e-23,0,0.14,21
81,1.0,2.7983553e-11,0,0.14,20
82,1.0,2.3777245e-08,0,0.14,19
83,1.0,5.646639e-14,0,0.14,18
84,0.99972147,0.00027850026,0,0.14,17
85,0.066611774,0.9333882,1,0.14,16
86,5.3692536e-05,0.99994636,1,0.14,15
87,6.66147e-06,0.9999933,1,0.14,14
88,6.858879e-09,1.0,1,0.14,13
89,1.586514e-32,1.0,1,0.14,12
90,1.0,1.1306044e-24,0,0.13,26
91,1.0,3.6403247e-10,0,0.13,25
92,0.92790776,0.0720923,0,0.13,24
93,0.91008526,0.08991479,0,0.13,23
94,0.9977071,0.0022928568,0,0.13,22
95,1.0,4.3650681e-13,0,0.13,21
96,0.9999926,7.368445e-06,0,0.13,20
97,0.9998635,0.00013645466,0,0.13,19
98,1.0,5.2450336e-08,0,0.13,18
99,0.9876044,0.012395558,0,0.13,17
100,0.02021305,0.979787,1,0.13,16
101,5.707848e-06,0.9999943,1,0.13,15
102,2.0068173e-06,0.999998,1,0.13,14
103,9.31889e-09,1.0,1,0.13,13
104,6.186841e-25,1.0,1,0.13,12
105,0.9999993,7.430937e-07,0,0.12,26
106,0.9984577,0.0015423403,0,0.12,25
107,0.71445125,0.2855487,0,0.12,24
108,0.6678138,0.3321862,0,0.12,23
109,0.9447049,0.055295162,0,0.12,22
110,0.9999989,1.1178283e-06,0,0.12,21
111,0.99410313,0.0058968635,0,0.12,20
112,0.9820264,0.017973555,0,0.12,19
113,0.9998124,0.00018761952,0,0.12,18
114,0.8661499,0.13385016,0,0.12,17
115,0.0034914897,0.99650854,1,0.12,16
116,1.019647e-06,0.9999989,1,0.12,15
117,4.053601e-07,0.99999964,1,0.12,14
118,3.4103842e-09,1.0,1,0.12,13
119,3.5750565e-19,1.0,1,0.12,12
120,0.9572389,0.04276105,0,0.11,26
121,0.8020682,0.19793189,0,0.11,25
122,0.44031376,0.55968624,1,0.11,24
123,0.3778235,0.6221765,1,0.11,23
124,0.7198995,0.2801005,0,0.11,22
125,0.99714273,0.002857277,0,0.11,21
126,0.8538066,0.14619341,0,0.11,20
127,0.7914203,0.20857972,0,0.11,19
128,0.9814556,0.018544374,0,0.11,18
129,0.54223406,0.457766,0,0.11,17
130,0.00030177852,0.9996983,1,0.11,16
131,2.4839383e-07,0.99999976,1,0.11,15
132,9.110959e-08,0.9999999,1,0.11,14
133,1.6614102e-09,1.0,1,0.11,13
134,7.390522e-15,1.0,1,0.11,12
135,0.32441127,0.6755887,1,0.1,26
136,0.3174717,0.6825283,1,0.1,25
137,0.20699418,0.7930059,1,0.1,24
138,0.14108849,0.8589115,1,0.1,23
139,0.3953313,0.6046686,1,0.1,22
140,0.86133254,0.13866742,0,0.1,21
141,0.4513562,0.5486437,1,0.1,20
142,0.3621806,0.63781935,1,0.1,19
143,0.80083853,0.19916151,0,0.1,18
144,0.21539892,0.7846011,1,0.1,17
145,2.7147398e-05,0.9999728,1,0.1,16
146,1.328492e-07,0.9999999,1,0.1,15
147,1.8185741e-08,1.0,1,0.1,14
148,1.9225774e-09,1.0,1,0.1,13
149,1.8434154e-11,1.0,1,0.1,12
150,0.007407795,0.9925922,1,0.09,26
151,0.030970788,0.96902925,1,0.09,25
152,0.06081637,0.93918365,1,0.09,24
153,0.022802057,0.97719795,1,0.09,23
154,0.14572613,0.85427386,1,0.09,22
155,0.46488544,0.5351145,1,0.09,21
156,0.1279469,0.8720531,1,0.09,20
157,0.055609897,0.94439006,1,0.09,19
158,0.36265823,0.63734174,1,0.09,18
