,x,y,target
139,-77.115326,43.777905,0
140,50.336327,28.281128,1
141,31.819637,-11.500712,1
142,2.9147627,-15.53377,1
143,64.32828,13.056887,1
144,-69.50003,20.593271,0
145,-33.92845,-10.374924,0
146,1.2009563,-5.742458,1
147,1.9238504,-9.988671,1
148,-8.537783,-21.489178,1
149,-6.130419,-21.103407,1
150,19.543392,-8.575988,1
151,-0.48583472,-2.0742218,1
152,42.74002,-4.931842,1
153,10.408983,-22.03397,1
154,57.83683,47.416412,1
155,61.372795,14.744283,1
156,-40.788757,-5.834156,0
157,-10.048023,-13.116085,1
158,23.608135,-13.631032,1
159,20.203802,-1.511354,1
160,-89.121826,34.176895,0
161,20.110851,-6.7384205,1
162,-43.89269,18.510662,0
163,30.172405,2.5140865,1
164,-10.123306,-10.731291,1
165,-87.732086,29.680447,0
166,-15.7586155,-19.671694,1
167,0.6759898,-11.751974,1
168,39.299328,-13.336691,1
169,5.3668303,-25.224348,1
170,-13.40843,-20.566166,1
171,-25.06344,-15.308656,0
172,-6.742461,-17.622879,1
173,-22.38174,-12.642284,1
174,66.15878,56.47587,1
175,51.393578,18.34041,1
176,-5.699866,-6.6546354,1
177,37.518353,2.2936473,1
178,24.494148,-10.693141,1
179,16.683645,-11.311766,1
180,-40.78306,23.355034,0
181,-48.840076,-5.4869127,0
182,-34.371773,-3.8170276,0
183,30.220018,-0.11587286,1
184,30.112875,-14.07843,1
185,-45.01227,0.17560816,0
186,16.965187,2.2472758,1
187,-50.072044,9.274668,0
188,-43.528816,-4.751563,0
189,10.501282,-18.504658,1
190,75.93419,50.99103,1
191,36.16136,-0.06154442,1
192,-54.8526,25.805733,0
193,-46.45744,-7.740544,0
194,-11.911726,-11.143991,1
195,64.6188,17.394913,1
196,10.143122,3.4012375,1
197,76.59481,32.39866,1
198,-2.8781605,-10.452885,1
199,-31.091345,-2.316986,0
200,-50.90541,5.7248955,0
201,-70.30026,4.152144,0
202,-62.748432,1.1513209,0
203,15.624706,-8.564508,1
204,-50.113483,10.203204,0
205,-40.274456,13.155639,0
206,-40.305237,-7.769478,1
207,-64.57249,19.677042,0
208,-19.816566,-5.888432,1
209,-6.76651,-6.6859283,1
210,-24.154697,-1.3052888,0
211,-44.28612,-20.57835,0
212,53.43671,16.303572,1
213,-43.117496,2.8670704,0
214,60.09339,13.762473,1
215,16.987938,-16.14716,1
216,27.590443,-11.936531,1
217,34.150177,5.0108337,1
218,58.770622,5.8798127,1
219,73.97622,14.856039,1
220,91.55191,47.51991,1
221,-38.247276,2.8659225,0
222,-41.089417,14.569978,0
223,32.69758,-18.35526,1
224,-1.7340887,-15.71495,1
225,3.4685366,-9.107927,1
226,-15.477869,-19.462643,1
227,69.699844,19.402649,1
228,2.48213,-19.858133,1
229,-25.387264,0.66491866,0
230,26.954327,20.303099,1
231,-22.859505,-7.25996,0
232,-59.192722,7.1092234,0
233,27.479256,-4.5332475,1
234,26.832273,-3.713633,1
235,1.1159827,-18.817745,1
236,-13.407656,-17.105534,1
237,14.345455,-3.6059175,1
238,31.799164,5.999341,1
239,8.193326,-12.403835,1
240,35.25346,-2.7892096,1
241,-33.470875,6.286679,0
242,42.68244,-5.9355965,1
243,7.052168,-12.026013,1
244,62.829544,32.89219,1
245,-50.427006,-2.425879,0
246,29.472513,4.57226,1
247,9.125169,-16.647818,1
248,15.16108,-11.756481,1
249,21.352516,-7.769003,1
250,-24.822021,-3.008949,0
251,4.188549,-18.632572,1
252,58.400887,3.7652712,1
253,-47.157352,4.6755624,0
254,63.743347,32.65216,1
255,-6.813214,-13.345053,1
256,-68.91205,8.858238,0
257,-24.48225,9.417141,0
258,61.357346,-0.5822585,1
259,-45.95014,12.337533,0
260,-10.478294,-23.028498,1
261,-20.520367,-20.222973,1
262,66.112274,6.436928,1
263,23.06953,-1.2125256,1
264,67.23081,29.8844,1
265,-34.839684,-1.5830758,0
266,15.054369,-14.010067,1
267,15.249378,-9.573019,1
268,-6.8001304,-13.716984,1
269,20.033195,2.8735929,1
270,-45.696594,2.0140796,0
271,-14.182796,-25.059498,1
272,70.76288,37.10692,1
273,-10.727808,-5.9578104,1
274,22.184374,-0.60152346,1
275,39.317966,-1.2968943,1
276,7.8043957,-15.457999,1
277,4.9399195,-17.017963,1
278,-1.3562156,-24.19428,1
279,18.373436,-22.309643,1
280,-18.293451,-19.035236,1
281,-27.765781,-12.586184,0
282,52.841972,6.9527516,1
283,-7.7268057,-13.667685,1
284,76.835014,18.91727,1
285,5.476075,-11.389621,1
286,19.978687,-25.36937,1
287,-37.113403,-15.697107,0
288,9.339588,-6.8068953,1
289,47.66297,1.5644611,1
290,54.82981,34.822617,1
291,25.848433,2.6082106,1
292,11.718596,-17.106094,1
293,-39.42492,-10.285538,0
294,-42.295547,14.0950165,0
295,56.775475,17.057337,1
296,72.100815,33.388123,1
297,33.42182,-7.8889813,1
298,-9.870024,-17.03281,1
299,29.340605,-8.923828,1
